	smoker	hbver	erytrocyty	alt	leukocyty	etytr	hemoglobin	ssn	name	trombocyty	alp	relationship	indicator	er-cv	weight	ast	hematokrit
67	no	4.87899	7.87194	1.18010	6.44864	6.31260	7.25539	381-62-6506	Mike Booker	6.44754	68.64082	married	0.00000	35.43107	126.01994	70.83259	4.86820
68	no	5.48907	5.86127	0.54777	7.18225	9.22198	7.60340	674-08-8404	Stephen Davis	4.67445	57.88668	nop	0.00000	26.88800	13.52417	39.38454	4.91480
69	Y	5.53113	6.91015	0.68791	4.02568	5.43963	9.57230	359-82-7660	Eric Buckley	6.55867	14.34545	divoced	1.00000	39.73400	94.81875	47.09169	6.99796
70	no	5.21172	6.45148	0.69867	6.00678	5.37730	7.17933	491-26-8915	Michael Johnson	5.67897	69.26437	married	1.00000	73.45020	53.02142	67.74889	7.65071
71	no	6.22442	8.36384	1.68885	5.83673	4.01679	6.48531	145-34-7654	James Thompson	5.59539	88.89330	separated	1.00000	40.50494	60.83609	50.39134	5.88149
72	yes	7.00927	6.48660	0.47056	7.65229	9.12201	6.74449	826-84-0342	Barbara Anderson	4.53970	89.28712	single	0.00000	55.77242	38.94249	55.30680	4.80879
73	Y	5.88684	7.72272	1.04933	6.79259	3.41423	6.05947	628-02-1627	Jeremy Jones	6.38431	85.64176	divoced	1.00000	34.08929	46.95675	51.04770	4.97422
74	yes	6.84091	5.56832	0.64127	5.14304	4.52904	4.77044	796-48-5384	Susan Rogers	6.81915	52.74511	married	0.00000	49.39484	42.99862	43.53319	4.38940
75	no	5.59865	9.46129	4.05128	7.16258	3.35759	7.97888	065-77-8289	Bruce Anderson	5.86191	35.61562	single	1.00000	36.44161	90.66376	49.60307	7.45257
76	N	7.60417	8.07849	1.19500	6.23536	4.31608	7.71943	398-62-1932	Hector Evans	5.29555	60.88951	single	1.00000	41.90030	115.61315	30.91260	6.94580
77	yes	6.39446	7.81541	1.15537	6.82450	6.14723	7.58841	456-90-5410	Joanna Mills	7.06680	52.90239	widowed	0.00000	47.99114	13.62791	41.44676	5.11926
78	no	6.41574	5.83474	0.64277	6.26682	6.22251	8.10604	420-58-2110	David Willis	5.29561	33.91190	divoced	1.00000	52.60869	97.20856	52.63300	6.96189
79	yes	7.85284	8.15403	1.05227	5.49514	5.86900	6.94824	442-18-4958	Dr. Nathan Williams	5.68804	78.46631	married	0.00000	58.30944	148.33387	46.59119	4.16188
80	Y	5.47225	6.80162	0.67866	6.09680	5.40995	7.37647	318-84-3370	Betty Shea	6.54484	56.37705	divoced	1.00000	56.64043	32.62800	61.13776	7.26300
81	no	6.09565	5.61445	0.38708	7.05423	6.02158	6.15946	046-99-7435	Anita Harper	4.78527	81.83766	separated	1.00000	49.63045	85.94809	32.90308	7.34592
82	no	5.10230	4.34835	0.50781	5.22294	7.14127	8.01004	634-61-1768	Daniel Berry	6.84995	46.18887	divoced	1.00000	75.05565	97.77401	43.55972	7.95392
83	Y	6.35340	5.85090	0.72129	6.31510	4.32626	5.15246	846-79-1452	Dennis Kelly	5.21739	61.18052	married	0.00000	39.17665	82.21685	47.91292	4.70153
84	no	6.38156	7.16357	0.69932	6.29061	4.56569	5.88405	499-32-7650	Anthony Johnson	7.01444	87.25963	single	1.00000	78.46553	80.79003	51.71770	7.67344
85	no	7.06726	4.01462	0.25994	5.72967	7.49526	4.35192	385-50-5656	Mathew Harrington	7.66370	39.00016	divoced	0.00000	44.12570	86.59985	43.68289	5.13754
86	no	6.73336	4.50763	0.40267	7.94636	5.86541	4.72381	331-68-3125	Christopher Phillips Jr.	7.33609	47.25076	single	0.00000	49.21254	128.56026	57.69217	4.89262
87	N	4.67971	5.24963	0.26416	5.92472	9.50457	8.68422	828-99-0286	Jennifer Davies	4.78722	15.03269	widowed	0.00000	58.62848	30.66681	55.74733	5.96505
88	no	5.86883	3.95260	0.47548	4.19680		4.55184	871-28-3311	Brandy Smith	5.28047	43.93941	divoced	0.00000	45.90352	48.24704	38.52761	5.76342
89	no	6.47778	7.05993	0.68334	7.32362	6.16964	9.11454	029-26-8328	Barbara Fisher MD	6.76868	16.18754	divoced	0.00000	50.85851	83.12846	22.44699	6.13815
90	yes	7.22527	7.48132	1.05582	4.52142	3.62242	3.58677	315-65-4880	Linda Clark	5.78153	14.63202	single	1.00000	50.00042	89.11532	57.79803	4.40733
91	no	5.78744	5.72589	0.56042	5.48171	3.05643	5.98502	052-35-2611	Brian Morales	8.03165	84.87813	separated	0.00000	36.16568	132.61318	56.17563	4.41604
92	Y	3.79864	5.83125	0.64915	5.00113	6.49814	9.63976	871-76-7426	Bryan Jacobs	7.81952	14.61984	divoced	1.00000	60.78945	83.83712	52.13349	6.46742
93	no	4.74034	6.95731	0.95443	6.33702	4.61603	4.07930	449-97-0845	Steven Wiggins	7.66917	23.90637	married	1.00000	48.90513	44.10146	41.63298	6.29980
94	Y	5.45118	6.71448	0.59747	6.28137	5.29405	6.72207	085-87-6949	Elizabeth Robinson	6.73669	78.04015	married	1.00000	58.83858	105.31518	34.70930	7.33059
95	Y	6.71503	7.46879	0.79458	5.81726	4.80516	7.94788	617-19-6586	Zachary Thompson	4.94835	42.64754	divoced	1.00000	54.47775	53.66112	63.06104	6.77374
96	no	5.29900	8.25979	1.49043	5.63281	4.08042	6.11673	381-01-7015	Lauren Hurley	6.12077	79.41495	nop	1.00000	46.15771	106.99904	49.99230	6.76830
97	Y	6.29356	6.52647	0.75777	6.04528	4.79481	6.55988	420-58-2110	David Willis	5.66113	92.87438	divoced	1.00000	24.17498	58.51828	47.47858	9.40190
98	N	5.79177	9.53929	4.36010	5.51565	3.31811	7.68605	130-75-8345	Kara Snyder	5.55137	54.13521	single	1.00000	74.36779	87.31696	61.33532	7.21893
99	no	6.33790	8.67391	2.06502	5.60640	5.04391	7.29694	421-16-2844	Susan Vargas	7.91700	66.37778	nop	1.00000	53.70965	55.10586	41.20931	8.86560
100	yes	6.57461	6.94654	0.61217	6.47669	7.08625	8.43913	846-79-1452	Dennis Kelly	6.94931	17.05843	divoced	0.00000	63.87880	133.17452	33.67160	6.19513
101	Y	6.00203	7.43675	0.82015	8.31981	4.64943	8.97881	295-65-4438	Kelly Harrington	6.47017	11.22266	single	1.00000	35.47940	106.23879	45.65238	7.90869
102	Y	6.78741	4.48027	0.51811	5.15502	4.82035	4.55011	223-81-5899	Xavier Meza	5.53003	40.67349	separated	0.00000	46.39644	100.39675	64.84274	5.65339
103	no	7.09380	6.86924	0.98021	7.21906	6.02594	4.71310	030-30-7022	Daniel Brown	5.28745	52.71525	married	1.00000	50.62856	41.79038	73.60836	10.89453
104	Y	7.16932	7.37537	0.81634	7.12469	4.11016	6.22258	516-10-0279	Erika Brown	5.28930	88.30047	divoced	1.00000	52.34743	73.43430	63.03669	5.78234
105	yes	4.04867	5.22696	0.76851	7.32065	4.40441	3.29454	782-18-1509	Denise Kane	6.28759	16.22484	widowed	0.00000	64.07903	44.12410	49.86060	4.74158
106	Y	5.34939	8.64965	1.84342	5.75551	3.50042	5.84747	809-24-7205	Eric Harvey	5.76016	80.39320	married	1.00000	35.99770	69.98980	49.72907	7.45045
107	yes	7.68932	7.41905	0.76223	6.68002	3.90199	5.20761	699-21-5688	Pedro Huff	4.70032	61.94901	single	1.00000	46.19664	9.26775	47.97014	5.48120
108	no	6.67489	2.36371	0.44217	8.03207	5.61173	4.69670	667-20-7473	Miguel Howard	4.31218	48.90134	single	0.00000	80.09769	65.61449	47.86100	6.23329
109	Y	6.26362	8.35939	1.57600	5.15385	3.88221	5.63492	876-34-2235	Natalie Mcintosh	6.42602	87.25291	married	1.00000	51.16217	78.47451	44.53297	7.47404
110	no	6.86978	6.95555	0.77860	5.82666	5.28490	8.98881	181-65-5366	Jordan Curry	6.47888	16.02211	divoced	1.00000	63.44444	7.54708		7.18496
111	no	5.46113	7.65245	1.18842	7.42224	4.46688	5.53641	246-54-6637	Hannah Ross	7.12845	72.15694	divoced	1.00000	34.82006	84.09778	37.58903	6.03037
112	no	5.43264	6.08595	0.86845	5.89236	4.38397	5.73817	143-94-7175	Hayley French	4.54189	77.61496	divoced	1.00000	51.50258	109.28377	51.73067	7.84922
113	no	7.93327	4.03033	0.63057	5.09060	7.53401	8.27694	885-76-6765	Rebecca Lindsey	5.16258	38.62562	divoced	1.00000	70.64229	11.22655	42.95871	7.33218
114	yes	6.58150	7.36823	0.99799	7.78340	5.00499	8.08025	621-76-8507	Mrs. Whitney Vaughn	5.51889	44.26775	divoced	1.00000	54.95098	45.32452	70.27760	7.32176
115	yes	7.39512	5.20545	0.42024	6.38194	6.34612	8.48365	622-97-7006	Edwin Blair	5.23243	26.32589	divoced	1.00000	38.01829	73.57195	60.18860	8.27662
116	no	4.86010	4.44929	0.46553	7.08928	4.79879	4.00055	237-16-8481	Nancy Blair	5.94063	25.32845	widowed	0.00000	36.59305	93.63150	63.92024	5.21660
117	no	5.99065	7.56452	0.95936	4.31280	6.78241	6.83858	617-93-2431	Jonathan Cameron	6.45511	87.04326	single	0.00000	28.74470	53.24918	50.47501	3.75195
118	no	5.87815	7.86031	1.22891	6.56059	6.63502	6.76805	141-84-3599	Benjamin Miller Jr.	5.63660	87.46929	divoced	0.00000	27.59473	93.10461	55.43410	4.33606
119	no	4.91662	6.22263	0.79073	7.38982	5.34899	4.00694	823-89-8490	Brandon Valdez	6.85205	26.81878	married	1.00000	45.77501	82.69752	59.50759	7.43933
120	no	3.82865	6.93390	0.86850	6.50293	5.09749	8.05276	619-34-2397	Daniel Jacobs	5.88389	42.85510	divoced	1.00000	57.24911	58.58999	41.40676	7.69308
121	no	5.68882	8.28645	1.73679	6.38361	4.40882	6.08699	403-59-9837	Bobby Gordon	6.15682	89.95815	married	1.00000	33.95961	50.41738	38.47131	6.38309
122	no	5.83154	7.95567	1.29398	5.68143	5.82364	5.40643	774-78-1636	Colin Caldwell	6.45439	65.18554	widowed	1.00000	66.42220	61.53689	60.09343	8.57211
123	no	6.54852	7.14069	0.87941	4.79042	5.15068	8.64216	881-70-0305	Rebecca Silva	6.61981	23.53383	divoced	1.00000	37.65661	73.43637	63.03004	7.45707
124	Y	7.55635	7.05826	0.84959	6.39481	5.13364	7.78662	685-39-6593	Jessica Woodard	6.80440	48.01125	divoced	1.00000	60.96400	34.31610	56.36459	7.56139
125	no	6.91923	5.78453	0.49216	5.38441	5.74764	3.45831	595-77-8338	Teresa Ryan	6.72204	20.73278	divoced	0.00000	52.76917	78.39561	82.39934	4.32449
126	no	6.46713	7.42758	0.84393	5.41050	4.66732	4.62167	287-68-2833	Ricardo Foley	6.39541	51.07606	single	1.00000	59.45285	71.92960	59.38252	5.93707
127	no	5.43429	5.11947	0.53225	7.74868	4.83393	4.74579	312-98-5080	Jessica Martinez		45.66829	nop	0.00000	46.47569	79.65143	41.84251	4.58033
128	no	6.78310	9.09885	3.04524	5.90690	3.25534	5.88300	058-47-4629	Roger Murphy	5.04496	87.30036	divoced	1.00000	55.75912	113.11803	68.41697	7.32458
129	no	6.55177	2.85762	0.61277	7.08809	6.04042	4.44240	230-22-5979	Jason Nguyen	6.44488	41.17397	married	0.00000	40.31156	57.62393	54.46675	5.59642
130	yes	4.63356	7.18221	0.72516	7.08394	5.84979	4.24493	476-14-5013	Marisa Garcia	5.44890	26.27928	nop	1.00000	52.80244	105.38433	75.04548	9.71919
131	Y	6.22175	6.48112	0.61629	5.96491	5.55224	6.72488	040-29-9102	William Lee	6.26148	81.67714	single	1.00000	42.11157	106.28165	44.97475	7.17294
132	no	7.62898	8.59824	1.98517	4.53961	3.82847	8.18025	252-68-5922	Christopher Rich	6.36275	42.68035	married	1.00000	39.91221	27.56981	47.61787	7.98713
133	no	4.93480	3.95077	0.60920	6.19858	6.70893	4.55015	100-66-8175	Barbara Long	6.65102	44.21324	nop	0.00000	30.63643	89.10761	32.84743	5.40421
134	yes	4.56331	8.22533	1.36092	6.05985	5.06227	3.46100	606-98-1797	Mariah Sanders	6.61263	19.21520	separated	1.00000	35.69516	100.59414	54.38871	6.21694
135	no	4.93733	7.47248	0.95468	5.20295	4.87578	5.75317	392-82-4601	John Garner	5.03017	86.28090	divoced	1.00000	43.42403	57.04651	66.66517	7.71092
136	Y	4.55157	5.89427	0.38409	6.95387	5.82131	6.58439	158-94-2331	Scott Davis	7.23066	88.48266	widowed	1.00000	43.51273	117.67727	37.08032	7.94133
137	yes	5.82181	3.21324	0.72002	7.47729	6.73698	3.51801	858-65-3393	Heather Shaw	6.03244	14.07727	single	0.00000	32.76391	38.86091	33.84823	5.65002
138	no	7.66159	6.14844	0.75853	6.00104	8.30062	8.36311	597-52-1482	Tyler Schneider	4.72379	29.22397	married	0.00000	41.80059	88.12600	37.15462	5.76272
139	yes	7.03570	6.65505	0.51285	6.55470	4.41503	5.69821	309-95-0614	Andrew Mann	7.99328	82.47486	single	1.00000	56.76354	113.24750	54.64266	6.02239
140	no	5.96248	7.84419	1.16950	6.41853	4.58139	3.88447	147-74-1826	Virginia Barnett	7.08482	14.51166	married	1.00000	68.29890	64.07631	41.48408	5.10573
141	yes	6.02431	5.80876	0.28229	6.95464	2.96652	4.81701	806-12-2546	Angel Sawyer	6.55118	47.44016	married	0.00000	56.64252	65.35532	45.67560	4.26047
142	no	4.80447	5.93207	0.36185	6.22198	5.32183	3.99025	067-90-2769	Michelle Cooley	6.33644	16.38414	married	0.00000	73.99415	44.26544	47.98150	3.14159
143	yes	8.72606	6.48776	0.78167	4.36295	5.60394	9.67098	094-26-6349	Nathaniel Baker	6.89387	4.38615	single	1.00000	36.52108	66.62259	42.96759	7.38697
144	no	5.54586	7.43294	0.92606	3.56552	5.01850	8.27113	824-23-2516	Cynthia Bartlett	6.14222	32.58134	divoced	1.00000	64.04219	116.99410	48.47022	7.37322
145	Y	4.67000	7.63437	1.06282	6.20739	9.02964	4.78792	346-50-1078	Leslie Wilson	3.81608	52.81529	divoced	0.00000	43.84946	54.42032	59.88122	3.95320
146	Y	5.02392	6.81816	0.57252	5.06724	5.28839	8.36801	714-82-3148	Shane Rodriguez	6.52731	34.51485	single	1.00000	42.37027	122.46253	54.37570	7.20514
147	yes	6.45644	6.32102	0.45641	5.63410	4.81776	6.00352	746-99-0165	Christopher Hill	5.11738	81.15310	divoced	1.00000	28.89604	69.57373	46.20065	7.73243
148	yes	4.88067	6.95957	0.92864	7.40340	3.64453	6.93291	775-40-7282	Alan Brooks	6.45010	75.44847	divoced	1.00000	75.62428	100.14965	57.26899	4.54419
149	Y	6.14832	7.38592	1.01310	4.09434	4.74630	7.54113	094-11-4638	Janet Lyons	5.38865	65.80817	divoced	1.00000	68.20693	25.29840	20.26334	7.32479
150	no	6.35768	8.38875	1.45489	5.01061	4.11915	7.74570	384-90-5733	Cody Greer	6.32673	57.74494	single	1.00000	54.66890	74.10203	48.47442	6.53793
151	yes	5.86530	5.94743	0.25114	8.64317	3.13558	4.74527	448-85-4437	Maria Miller	6.07433	53.62465	married	0.00000	44.51590	50.34904	50.17743	4.41916
152	yes	6.54189	6.01274	0.75840	4.72020	4.60059	5.40523	770-36-4138	Debbie Fuller	5.52981	69.89110	married	1.00000	48.55071	81.56361	33.00795	5.91491
153	Y	6.51516	5.42244	0.45818	5.45857	4.72954	4.99094	185-86-6461	Stephanie Webb	4.51373	62.11795	widowed	0.00000	28.81472	-26.33206	67.36572	4.42980
154	no	7.92714	8.25619	1.86788	6.46394	4.03767	6.92134	711-12-1000	Tiffany Lloyd	6.69468	81.85085	married	1.00000	42.86124	23.10474	36.76929	7.58931
155	no	6.10988	6.85700	0.78007	5.14808	5.01211	7.30929	365-32-4103	Denise Kaiser	6.05857	59.46392	widowed	1.00000	73.35971	84.18939	52.58038	7.33526
156	no	4.36618	8.13959	1.38009	7.39415	6.74800	6.28127	282-16-6519	Leroy Simon	4.27404	86.64702	nop	0.00000	27.45492	181.59649	47.75177	4.47419
