	birthdate	address	race	current_location	blood_group	ssn	name	sex	residence
30	01 Aug 1920	"236 Lee Pines
East Kelly, WI 78015"	White	(Decimal('24.338182'), Decimal('18.911212'))	B-	857-50-1830	Daniel Patterson	M	"14374 Frank Manors
North Haley, AR 69162"
31	06 Aug 1951	"1633 Paige Fords
Victorville, NV 12571"	Black	(Decimal('-13.854584'), Decimal('140.604468'))	O-	859-88-0576	Nicole Brown	F	"447 Kim Hollow Suite 267
South John, IN 48546"
32	12 Aug 1994	"246 Hubbard Lakes
West Michaelville, MI 61563"	Black	(Decimal('60.558886'), Decimal('120.646532'))	B+	108-32-5856	Adrian Alexander	M	"744 Mack Via Suite 073
Timothyborough, KS 55441"
33	1991/01/06	"3430 Holmes Roads
Halltown, KS 87571"	black	(Decimal('88.700217'), Decimal('-27.782674'))	O-	574-78-1453	Nicholas Walsh	M	"113 Brandi Road
Newmanmouth, NM 33741"
34	23 May 1987	"956 Amy Point Apt. 220
Williamsberg, TX 38383"	White	(Decimal('23.065841'), Decimal('31.936391'))	AB+	833-69-6585	Shawn Bradley	M	"601 Brian Forks Apt. 897
Port Heatherfort, WA 53993"
35	1991/06/22	"87793 Morales Vista
Salazartown, WI 58923"	White	(Decimal('1.7135555'), Decimal('24.926845'))	AB+	699-67-2219	Jason Monroe	M	"7377 Jamie Springs
Williamsonfort, PA 20203"
36	02/24/1984, 00:00:00	"Unit 0384 Box 7593
DPO AE 34998"	Asian	(Decimal('63.646064'), Decimal('3.938544'))	O+	283-22-0308	Heather Alvarado	F	"784 Carter Light
Collinland, AZ 07218"
37	22 Dec 1929	"56149 Fowler Vista Suite 386
East Karen, DC 63757"	Indian	(Decimal('63.6777865'), Decimal('135.560670'))	AB-	151-50-2452	Amy Hernandez	F	"50473 Melissa Meadows
Huertafurt, OK 27361"
38	02/09/1987, 00:00:00	"Unit 1317 Box 7912
DPO AP 90223"	Black	(Decimal('43.4676165'), Decimal('-5.908777'))	AB+	588-04-0459	Vanessa Thomas	F	"20614 Chaney Station Suite 480
New Johnny, DC 97934"
39	21 May 1969	"439 Anderson Branch Suite 316
West Joelview, NJ 75795"	Black	(Decimal('-50.361531'), Decimal('145.161670'))	B-	438-11-1303	Blake Ramsey	M	"231 Jeff Walk Suite 353
Port Brittany, OR 94914"
40	09/28/1955, 00:00:00	"Unit 6199 Box 0526
DPO AA 17141"	White	(Decimal('-1.409766'), Decimal('3.556403'))	O-	568-22-5359	Tyler Rivera	M	"698 Simmons Corner Suite 226
West Elizabeth, LA 02897"
41	1935-09-01	"969 Stephanie Wall Suite 302
Mercershire, ND 47055"	White	(Decimal('-40.4750285'), Decimal('66.181818'))	AB+	455-03-9738	Amy Arnold	F	"7785 Sanchez Garden Suite 734
Gallagherview, IA 86933"
42	2009-11-10	"144 Ryan Plain
Phillipsfort, FL 09052"	Black	(Decimal('58.800226'), Decimal('-120.129993'))	A+	155-33-6271	Jason Wise Jr.	M	"695 Mary Expressway Suite 088
Port Rebecca, NJ 30424"
43	08/04/1909, 00:00:00	"63685 Joanne Stravenue Suite 931
Jamietown, OK 57377"	White	(Decimal('23.5969465'), Decimal('134.001591'))	A-	861-55-9351	Robert Martin	M	"479 George Pine Apt. 963
North Scottfort, NJ 84825"
44	05/05/1990, 00:00:00	"828 Jeffrey Club Suite 162
Kennethbury, FL 93080"	Hawaiian	(Decimal('44.5056565'), Decimal('118.201075'))	B-	567-20-5703	Kimberly Johnson	F	"82734 Perkins Course
North Ronaldfurt, NJ 30711"
45	1964/01/19	"34599 Paul Lake
North Gregory, SD 25583"	Black	(Decimal('-62.206963'), Decimal('-150.672295'))	AB+	005-37-2746	Mr. Joshua Gilmore	M	"2367 Miller Lights
Josephville, OH 28294"
46	01/05/1933, 00:00:00	"525 John Loaf Apt. 953
South Marilyn, CT 85947"	Asian	(Decimal('-84.729563'), Decimal('111.475478'))	A+	803-79-7306	Judy Hanson	F	"4535 Julie Bridge
West John, NV 04486"
47	1960-09-21	"PSC 1580, Box 0336
APO AA 02076"	White	(Decimal('-55.316698'), Decimal('177.716163'))	B+	703-20-3103	Mitchell Johnson	M	"8413 Herbert Drive
Yatesshire, ID 25466"
48	1923-01-14	"8892 Crosby Court Apt. 532
Loriland, TX 72444"	Hawaiian	(Decimal('-19.557333'), Decimal('35.941535'))	O-	529-89-2095	Lori Morrison	F	"8798 Bruce Cove
Kathleenmouth, KS 83703"
49	1923-09-19	"42159 Randall Row
Gonzalezfurt, OR 88875"	Indian	(Decimal('50.9261205'), Decimal('-75.805114'))	O+	086-65-9944	Sherri Harris	F	"45972 Parker Orchard Apt. 451
Margarethaven, VT 93694"
50	07 Jul 2005	"509 Shepard Divide Suite 858
East Christopherborough, GA 89962"	Black	(Decimal('45.2014995'), Decimal('98.212576'))	A-	540-37-0874	Christopher Wilkinson	M	"22910 Dawn Village Suite 891
Matthewport, NJ 79708"
51	09/16/1946, 00:00:00	"545 Leslie Lodge
Port Joycehaven, CT 18130"	White	(Decimal('-85.1440325'), Decimal('-157.405741'))	AB-	071-22-0417	Anna Nichols DDS	F	"776 Gomez Square
Carrollton, MT 21402"
52	04 Jun 1960	"5895 Joseph Cliff
Shawnhaven, LA 18746"	White	(Decimal('32.8907385'), Decimal('44.828582'))	A-	030-06-7760	Desiree Rodgers	F	"0386 Randy Mills Apt. 225
Reneestad, WA 61603"
53	1951-11-25	"480 Nicholas Lock Suite 433
New Angela, ME 46360"	White	(Decimal('-69.084322'), Decimal('-111.526467'))	AB+	343-04-7818	Jeff Burns	M	"65375 Olson Crest Suite 343
Andrewbury, MN 23184"
54	05/19/1947, 00:00:00	"5732 White Shore Suite 094
South Kevintown, MN 75634"	Indian	(Decimal('-5.1522045'), Decimal('-135.079833'))	O+	624-79-8157	Colleen Mendez	F	"5967 Matthew Square
Johnsonview, TN 73114"
55	1930/04/11	"USNS Mcguire
FPO AE 90331"	White	(Decimal('-41.874870'), Decimal('2.919220'))	AB+	461-64-5164	Christopher Green	M	"6566 Erika Motorway
East Michael, WI 60235"
56	03/09/2005, 00:00:00	"9686 Jordan Shore Apt. 549
East Sandra, NV 70699"	Asian	(Decimal('81.9784275'), Decimal('67.925874'))	O-	650-37-7813	Brandon Castillo	M	"8773 Lowe Trace Apt. 500
Port Travisshire, OH 15745"
57	08/20/2011, 00:00:00	"530 Bell Place
Jeffreystad, DC 58654"	Hawaiian	(Decimal('43.480715'), Decimal('127.778491'))	A-	164-83-9426	Crystal Wyatt	F	"Unit 9918 Box 0684
DPO AP 98470"
58	08 Mar 1961	"61098 West Plains
Michaelmouth, OK 81494"	black	(Decimal('-57.095161'), Decimal('-108.449966'))	A+	575-22-5777	Samantha Bell	F	"54794 Troy Tunnel Apt. 931
North Melvinport, IN 92403"
59	1925/12/17	"7385 Gill Radial
Snydertown, CO 22044"	Hawaiian	(Decimal('55.636810'), Decimal('-73.250508'))	A-	049-63-3447	Melvin Williams	M	"PSC 0762, Box 6227
APO AP 16137"
60	03/01/1984, 00:00:00	"56819 Larson Lakes Suite 636
North Ambershire, SD 26255"	White	(Decimal('43.173889'), Decimal('-76.165628'))	O-	386-81-6023	Daniel Wood	M	"8898 Pena Views
Nelsonside, NY 34329"
61	1981-09-18	"USNV Ho
FPO AP 18032"	Indian	(Decimal('-24.1790785'), Decimal('82.200278'))	B+	632-19-4272	Anthony Bishop	M	"909 Brown Mills
East Elizabeth, WY 06414"
62	1965/05/21	"7377 Lisa Track
East Hector, VA 22862"	White	(Decimal('47.212079'), Decimal('16.006110'))	O+	091-58-9851	Amy Aguilar	F	"2547 Ronnie Plain
New Sally, NV 80313"
63	09/29/2010, 00:00:00	"68041 Lopez Trail
Lake Rebecca, AR 43048"	Black	(Decimal('-34.3531585'), Decimal('174.560361'))	A+	247-33-0927	Chad Cain	M	"6784 Morgan Hollow Suite 013
Port Shannonfurt, SC 34798"
64	1921/12/12	"58819 Jeffery Crest Suite 790
Jamesburgh, MD 04302"	blsck	(Decimal('-51.6178595'), Decimal('-5.609939'))	O-	164-73-2579	Kristina Hughes	F	"56139 Mays Mall
North Coreyshire, WY 96735"
65	24 Apr 1930	"3369 Bullock Keys
Glenbury, CO 90102"	blsck	(Decimal('-17.6915635'), Decimal('21.802110'))	B+	248-85-3598	Nicholas Jones	M	"4053 Juan Islands
Nicolehaven, IA 03055"
66	11/27/1975, 00:00:00	"55344 Mann Lights
Port Brandonport, NH 24651"	Black	(Decimal('-42.077253'), Decimal('-148.506472'))	AB+	816-77-6022	Christopher Logan	M	"28033 Thomas Cove
West Raymondmouth, SC 03988"
67	2012/06/04	"75747 Taylor Inlet Apt. 251
Lake Robert, FL 00860"	Asian	(Decimal('8.9681255'), Decimal('167.737368'))	B-	745-29-6223	Jack Ward	M	"PSC 6065, Box 5807
APO AA 49398"
68	1929-06-11	"199 Sarah Island
East Heather, NM 31071"	White	(Decimal('43.259304'), Decimal('-161.298298'))	A+	250-32-5989	Gabrielle Smith	F	"PSC 1186, Box 7298
APO AE 51918"
69	06/17/1907, 00:00:00	"164 Brian Shoal
Port Alyssa, TN 19414"	Black	(Decimal('14.1216695'), Decimal('176.383753'))	AB-	413-15-8188	Sabrina Beck	F	"931 Wood Avenue
Dicksonshire, OK 09204"
70	2001-02-01	"88801 Andre Estates
South Brittanyview, VT 88774"	Black	(Decimal('-44.266399'), Decimal('-58.051610'))	AB-	147-74-1826	Virginia Barnett	F	"215 Marisa Plaza
Rickeyside, IN 58579"
71	12/03/1935, 00:00:00	"4396 Gregory Lakes
Lake Jennifer, MI 69572"	Black	(Decimal('39.987502'), Decimal('-149.245483'))	A-	895-99-0824	Candice Kim	F	"81967 Steven Union
Howellfurt, CO 74590"
72	1947/10/09	"099 Brenda Mall
South Charles, TX 92874"	White	(Decimal('-65.7159045'), Decimal('160.753447'))	O-	752-23-7676	Timothy Sanchez	M	"2517 Summer Square Apt. 298
Austinport, AZ 78277"
73	25 Mar 2021	"27991 Sharon Mission Suite 848
New Samantha, HI 62738"	Black	(Decimal('-31.637220'), Decimal('-42.170239'))	AB+	112-52-4619	David Stevens	M	"4146 Carr Lock
East Kevinfort, NV 35668"
74	07/09/2000, 00:00:00	"63839 Gilmore Place
Bondton, HI 33362"	Black	(Decimal('-38.7193335'), Decimal('83.675342'))	AB+	265-44-6804	Andrew Jacobs	M	"308 Gilbert Road
South Reneeberg, MI 22187"
75	19 Oct 1963	"Unit 9469 Box 1727
DPO AA 23040"	Asian	(Decimal('-55.0315965'), Decimal('-142.159891'))	O+	678-95-9611	Jackie Carlson	F	"47913 Phillips Key
Heathertown, FL 15896"
76	2010-01-03	"22295 Aaron Views
Port Jeffreyport, MI 36339"	Hawaiian	(Decimal('-53.132208'), Decimal('-55.395087'))	AB+	462-55-8653	Stacy Smith	F	"18821 Jones Landing Suite 847
West Sierrafort, DC 00657"
77	1941/03/18	"74939 Bush Overpass
North Brookefort, NM 43170"	White	(Decimal('-79.210016'), Decimal('-122.080436'))	AB-	782-28-1587	Randall Edwards	M	"2734 Sarah Extension
Velezville, DC 84850"
78	22 Feb 1949	"464 Amanda Rapid Apt. 813
Lake Maryborough, OR 78735"	White	(Decimal('-28.030512'), Decimal('-94.350893'))	AB+	592-21-3733	Stephanie Dunn	F	"05197 Jared Fall Apt. 949
Danamouth, NH 66747"
79	1937-10-29	"Unit 2408 Box 0800
DPO AE 87521"	Asian	(Decimal('-0.929686'), Decimal('-47.579866'))	AB-	253-31-4729	Alicia Wright	F	"885 Heather Street Suite 712
Brownchester, CT 17627"
80	03 Apr 1933	"0184 Richard Meadows
East Ryan, CO 07731"	White	(Decimal('-18.829480'), Decimal('-65.136525'))	A-	593-55-8458	John Johnson	M	"USCGC Pearson
FPO AP 74785"
81	1979-01-02	"5692 Hall Tunnel Suite 200
Normanburgh, AL 33150"	White	(Decimal('-36.3787615'), Decimal('65.148286'))	AB-	290-21-6080	Andrea Alexander	F	"92596 Gentry Stream
Jasonstad, OK 60577"
82	1964-01-24	"684 Jill Stravenue Apt. 352
South Marc, OR 39003"	White	(Decimal('-23.4895835'), Decimal('-34.431617'))	A-	070-60-2108	Brenda Patel	F	"0120 Peterson Summit Apt. 105
East Lauren, NC 03193"
83	1971/02/09	"024 Caitlyn Parks Apt. 622
Vegashire, MN 34941"	Black	(Decimal('-57.4108315'), Decimal('5.197721'))	AB+	164-72-1794	Steven Meyer	M	"538 Kendra Creek
North Brian, NY 49645"
84	06 Oct 1964	"764 Hansen Center
New Julie, CT 99766"	White	(Decimal('49.6294005'), Decimal('90.293241'))	AB-	223-81-5899	Xavier Meza	M	"168 Carrillo Parks Apt. 787
North Autumn, AK 89651"
85	1927/03/29	"812 David Estates
North Tomshire, MN 92830"	Black	(Decimal('-48.188161'), Decimal('-164.100551'))	B+	840-99-5634	Linda Myers	F	"62736 Jones Field Suite 904
New Stefanie, TX 19249"
86	1907/02/18	"67600 Anita Road Apt. 388
Kimberlyshire, WA 01262"	Black	(Decimal('-37.381942'), Decimal('130.293432'))	B+	041-49-5435	Donald Black	M	"4455 Burns Rue Suite 255
East Jenniferland, AZ 97970"
87	1910-04-30	"6008 Page Hill Suite 554
North Kristinfurt, MN 43556"	Indian	(Decimal('1.7954215'), Decimal('-122.541369'))	AB-	226-57-3045	Robert Bennett	M	"USS Hancock
FPO AA 91092"
88	1948/12/08	"74600 Adam Cliff
Port Lorifurt, HI 28920"	Black	(Decimal('77.7793945'), Decimal('-111.865643'))	O-	768-09-4166	Sarah Brown	F	"936 Macias Divide
Estradamouth, WA 05814"
89	2016-11-19	"7519 Miller Forest Apt. 088
North Paulborough, SC 48064"	White	(Decimal('75.568723'), Decimal('173.857589'))	O-	612-91-4691	Sarah Gonzalez	F	"40571 Julie Streets
South Justinview, KS 82627"
90	1974/10/08	"146 Patrick Burg Suite 840
Vaughnview, AK 78440"	White	(Decimal('-76.112088'), Decimal('-59.907466'))	O+	068-32-9170	Heather Walker	F	"91422 Meghan Spring Suite 952
Joneschester, FL 71196"
91	1992-07-26	"2822 Newman Fall
South Davidstad, LA 55647"	Indian	(Decimal('-16.9219645'), Decimal('-37.745645'))	AB+	834-84-7528	Daniel Mitchell	M	"01239 Smith Underpass Suite 361
Wisechester, MI 30563"
92	12 Oct 1938	"827 Cathy Lodge Suite 190
Port Anthony, KS 25733"	Asian	(Decimal('-82.6742815'), Decimal('-172.464624'))	B+	549-72-2574	Kayla Mills	F	"71189 Meyer Light Apt. 071
East Tannerhaven, HI 76224"
93	05/11/1924, 00:00:00	"1403 Wagner Inlet
Lake Karenberg, AL 42025"	White	(Decimal('8.7018505'), Decimal('-4.522268'))	O+	051-71-7512	Bryan Guzman	M	"739 Sandra Villages
Bryantport, DE 47958"
94	14 May 1911	"9952 Maxwell Grove
South Heathertown, CA 37915"	White	(Decimal('14.4643365'), Decimal('-38.666046'))	O+	537-94-9747	Austin Mullins	M	"6560 Thomas Junctions Apt. 922
Matthewton, TX 73417"
95	1971-09-03	"926 Peterson Village Suite 114
East Angela, NC 18455"	White	(Decimal('73.808435'), Decimal('-17.362705'))	A+	244-95-4362	Jeffrey Escobar	M	"72511 Paul Junction Apt. 912
Hernandezport, MA 15680"
96	1946-01-29	"98480 Brett Bypass Suite 672
West Chelseatown, UT 31998"	Black	(Decimal('56.896302'), Decimal('12.394903'))	A-	613-66-6063	Scott Phillips	M	"50460 Erika Flats Suite 434
Lake Rhondaland, ND 23311"
97	1949/06/27	"Unit 8584 Box 7552
DPO AE 74755"	White	(Decimal('-70.3252105'), Decimal('172.252732'))	A+	514-44-5295	Kathy Hall	F	"Unit 1973 Box 4753
DPO AA 24982"
98	1984-08-21	"40128 Garcia View Suite 698
Lake Tina, MD 77183"	Asian	(Decimal('23.8240295'), Decimal('26.505556'))	O+	016-16-1007	Richard Jones	M	"26537 Phyllis Mountain Apt. 337
West Robert, NV 09452"
99	10 Nov 1926	"83770 Werner Shore
Millerberg, CT 65336"	White	(Decimal('73.1563985'), Decimal('-98.914614'))	AB+	491-26-8915	Michael Johnson	M	"403 Denise Meadows Suite 002
Monicachester, GA 14231"
100	1978-06-06	"2246 Chang Mountain
Carlshire, NV 36993"	Asian	(Decimal('50.2211415'), Decimal('-64.370823'))	AB-	208-05-2782	Alan Torres	M	"9246 Michelle Fall Apt. 701
Nelsonstad, LA 42200"
101	1925/06/05	"692 Wilson Coves
Gregoryton, ID 84604"	Black	(Decimal('-49.2561825'), Decimal('-60.573701'))	B-	738-86-0622	Rachel Barnes	F	"8398 Lisa Port Apt. 838
Rodriguezfurt, VA 27255"
102	1912/11/11	"06570 Lewis River
East Thomas, AR 08784"	White	(Decimal('15.531896'), Decimal('11.481662'))	O-	703-09-1824	Rachel Turner	F	"294 Hernandez Spurs
North James, MN 07096"
103	19 May 1974	"93330 Krista Walks
East Henry, TX 16269"	Indian	(Decimal('-23.714354'), Decimal('-4.227659'))	B-	602-06-9265	Caitlin Mathis	F	"72174 Newton Mall
North Michael, IA 38377"
104	1924/02/08	"736 Justin Vista
New John, MT 53527"	Black	(Decimal('68.197303'), Decimal('-4.587833'))	AB-	189-24-0456	Victoria Rivers	F	"8508 Matthew Extensions
West Susanberg, IA 55093"
105	22 Dec 1965	"7376 Austin Center
Rodriguezburgh, NV 56008"	White	(Decimal('3.3781605'), Decimal('-35.223339'))	O+	517-86-7058	Sandra Cantrell	F	"9474 Steven Crest Apt. 944
Amyshire, CO 53391"
106	1995-04-11	"544 Melissa Course
East Williamville, MT 85423"	White	(Decimal('-73.5238675'), Decimal('66.848815'))	O+	299-43-1237	Laura Murray	F	"6540 Bruce Crossing
Kevintown, NE 11402"
107	04/21/1978, 00:00:00	"9704 Williams Trace
Solisburgh, MO 23119"	White	(Decimal('35.170855'), Decimal('52.856667'))	B-	464-52-3440	Anthony Montgomery	M	"60007 Hurst Shoals
Lorettachester, MD 89927"
108	12/31/1936, 00:00:00	"54845 Martinez Road Apt. 466
Port Megan, MO 48704"	White	(Decimal('47.5324865'), Decimal('-73.915268'))	A-	648-81-6226	James Duffy	M	"6050 Cole Fork Suite 011
Ruthhaven, TN 89141"
109	1926-03-22	"12403 Murphy Inlet
Rodriguezton, SC 90771"	White	(Decimal('-5.9883735'), Decimal('-41.378768'))	B-	251-02-4821	David Martin	M	"Unit 3128 Box 5127
DPO AP 09447"
110	1934/10/02	"829 Guerrero Mall
Peterhaven, DE 96566"	White	(Decimal('78.6750745'), Decimal('-15.011781'))	A-	307-60-9663	Richard Price	M	"327 Watson Radial Suite 998
Melissaville, KY 25456"
111	1974/06/10	"680 Estes Stravenue Apt. 678
West Davidfort, NY 48504"	White	(Decimal('-88.6464315'), Decimal('22.011774'))	A-	742-20-4050	Vanessa Walker	F	"0644 Cole Branch
East Tracey, MD 19589"
112	2021-08-08	"0090 Kathy Heights
South Jeffrey, IN 59363"	White	(Decimal('-78.405719'), Decimal('90.699850'))	A+	772-06-9827	Kevin Jackson	M	"56059 Michael Shores Suite 704
East Rachelland, VA 58533"
113	1968/11/17	"0109 Aaron Landing Suite 274
Loriside, KS 58564"	Hawaiian	(Decimal('46.0314175'), Decimal('-11.316772'))	B-	540-60-6460	James Mack	M	"66776 Stephen Shoal
Diazburgh, OR 98970"
114	2000-04-17	"9402 Diane Cove Suite 049
Michaelchester, SC 65225"	White	(Decimal('-32.966078'), Decimal('-97.522600'))	O+	302-40-9339	Matthew Baker	M	"74769 Smith Viaduct Apt. 132
New Jessefort, KY 56978"
115	04 Jan 1911	"290 Dustin Place Apt. 167
East Marciaborough, MT 75290"	White	(Decimal('51.5883785'), Decimal('-76.830229'))	AB-	883-26-0478	Brendan Booker	M	"6179 Hamilton Dale
Rayburgh, IA 83092"
116	1926/05/04	"8197 Turner Shoal Suite 141
Flynntown, MN 72469"	White	(Decimal('-8.491394'), Decimal('77.419347'))	AB+	512-18-5498	Ryan Bailey	M	"539 Ashley Shoal Suite 697
Lake Michael, NC 39456"
117	29 Oct 1939	"9014 Benjamin Islands
Wendystad, MD 17072"	Hawaiian	(Decimal('86.7017395'), Decimal('-161.819837'))	O-	171-15-8230	Richard Barry	M	"PSC 7999, Box 7912
APO AP 45697"
118	1920-01-12	"643 Navarro Crossing Apt. 069
East Tyler, NE 45845"	Black	(Decimal('-87.5662795'), Decimal('26.655955'))	A+	342-81-3463	Christopher Reed	M	"9005 Marshall Court
Franklintown, FL 15368"
119	1926-06-28	"365 Daniels Court Suite 320
Lake Alexandraburgh, NJ 54132"	White	(Decimal('82.1450895'), Decimal('173.489330'))	B+	410-01-9753	Sara Williams	F	"27065 Smith Ways Apt. 734
Loribury, VA 67085"
120	27 Jul 1915	"7558 Hoffman Views Suite 121
Jessicaton, MN 33784"	Black	(Decimal('12.827095'), Decimal('-52.186327'))	O+	457-33-0991	Joseph Velasquez	M	"Unit 0759 Box 9849
DPO AP 39560"
